Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Act,Justification,Notes
* Adult Cinema,1975-10-16,1975,P.U (A) 330,Printed Documents,,Alan Town Publications Ltd,Foreign,Carlisle Web Offset Ltd.,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Strange Encounter At Dance Party,1977-06-30,1977,P.U (A) 195,Printed Documents,Tang Sin,Sin Jin Kang Publishing Company,Unclear,Sin Jin Kang Publishing And Printing Company,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Prodigal Son,1977-06-30,1977,P.U (A) 195,Printed Documents,Fei Fei,Sin Jin Kang Publishing Company,Unclear,Sin Jin Kang Publishing And Printing Company,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Lembahnya Nan Gersang,1981-07-16,1981,P.U. (A) 201,Printed Documents,,Media Massa Komunikasi,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Miang,1981-07-16,1981,P.U. (A) 202,Printed Documents,L.Mankadir Shamsi,Malek News Agency,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Gian,1981-07-16,1981,P.U. (A) 202,Printed Documents,L.Mankadir Shamsi,Malek News Agency,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Whirl Wind,1982-11-04,1982,P.U. (A) 336,Printed Documents,,"Princess Books Co.,",Unclear,Unknown,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Little Eagle,1982-11-04,1982,P.U. (A) 336,Printed Documents,,"Princess Books Co.,",Unclear,Unknown,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Young Bar Girl,1982-11-04,1982,P.U. (A) 336,Printed Documents,,"Princess Books Co.,",Unclear,Unknown,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Strong Mantis,1982-11-04,1982,P.U. (A) 336,Printed Documents,,"Princess Books Co.,",Unclear,Unknown,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
An Abnormal Beauty,1983-11-03,1983,P.U. (A) 454,Printed Documents,Sia Fei,Amusement Publishing House,Unclear,Amusement Publishing House,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Soft And Gentle Land,1983-11-03,1983,P.U. (A) 454,Printed Documents,Sia Fei,Amusement Publishing House,Unclear,Amusement Publishing House,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Arousing The Lustful Heart,1983-11-03,1983,P.U. (A) 454,Printed Documents,Sia Fei,Amusement Publishing House,Unclear,Amusement Publishing House,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Vying For Love,1983-11-03,1983,P.U. (A) 454,Printed Documents,Sia Fei,Amusement Publishing House,Unclear,Amusement Publishing House,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Have Concubine But No Wife,1983-11-03,1983,P.U. (A) 454,Printed Documents,Sia Fei,Amusement Publishing House,Unclear,Amusement Publishing House,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Fond Memories,1983-11-03,1983,P.U. (A) 454,Printed Documents,Sia Fei,Amusement Publishing House,Unclear,Amusement Publishing House,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Fantasies Magazine,1984-12-06,1984,P.U. (A) 444,Printed Documents,,Jockey Daily Co. Ltd,Unclear,Tian Shi Printing Factory,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Yellow Book,1984-12-06,1984,P.U. (A) 444,Printed Documents,,Hong Tian Publications Distribution Co.Ltd.,Unclear,"Sino-Anglo Investment Co. Ltd.,","[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
The Adventure,1984-12-06,1984,P.U. (A) 444,Printed Documents,,Growlong Co. Ltd,Unclear,"Imperial Printing Co. Ltd.,","[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Green Cover Mystery Magazine,1984-12-06,1984,P.U. (A) 444,Printed Documents,,Gao Shuang Co. Ltd.,Unclear,"Imperial Printing Co. Ltd.,","[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
My Curiosity,1984-12-06,1984,P.U. (A) 444,Printed Documents,,Gao Shuang Co. Ltd,Unclear,Imperial Printing Co. Ltd,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Kekasihku Suaminya,1984-12-06,1984,P.U. (A) 443,Printed Documents,Siti Zubaidah,"Utama Karya Sdn. Bhd.,",Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Ghairah,1984-12-06,1984,P.U. (A) 443,Printed Documents,Sabar Bohari,"Tra-Tra Publishing Malaysia & Trading Co.,",Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Si Manis Tiga Puluh,1984-12-06,1984,P.U. (A) 443,Printed Documents,S.Iskandar,"Tra-Tra Publishing & Trading Sdn. Bhd.,",Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Tuty Sentiasa Menanti,1984-12-06,1984,P.U. (A) 443,Printed Documents,Mohd. Farady,Sbc Distribution Malaysia,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Kisah Malam Pertama,1984-12-06,1984,P.U. (A) 443,Printed Documents,Salim Ali,Pustaka Suryabana Malaysia,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Di Pangkuan Dara,1984-12-06,1984,P.U. (A) 443,Printed Documents,Salim Ali,Pustaka Suryabana Malaysia,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Miss X,1984-12-06,1984,P.U. (A) 443,Printed Documents,Nik Abdullah,Pustaka Maju,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Nafsu Syaitan,1984-12-06,1984,P.U. (A) 443,Printed Documents,Nik Abdullah,Pustaka Maju,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Kisah Orang Kuala Lumpur 2,1984-12-06,1984,P.U. (A) 443,Printed Documents,Zahari Affandi,Penerbitan Pujangga,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Sofia,1984-12-06,1984,P.U. (A) 443,Printed Documents,Yahya Samah,"Penerbitan Pena Sdn. Bhd.,",Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Runtuh,1984-12-06,1984,P.U. (A) 443,Printed Documents,Malek A.R.,Penerbitan Knight Malaysia,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Dara Yang Janda Di Malam Pengantin,1984-12-06,1984,P.U. (A) 443,Printed Documents,Mahani,Penerbitan Knight Malaysia,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,Why Is This Ketenteraman Awam
Membasahi Bibir Yang Kering,1984-12-06,1984,P.U. (A) 443,Printed Documents,Juwita,Mulya Utama Enterprise,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Dara Yang Tiada Dara,1984-12-06,1984,P.U. (A) 443,Printed Documents,Malik A.R,Mulya Utama Enterprise,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Kembalinya Mona Gersang,1984-12-06,1984,P.U. (A) 443,Printed Documents,Mahmud Mahyudin,Media Massa Komunikasi,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Puan Rukiah Bersuami Dua,1984-12-06,1984,P.U. (A) 443,Printed Documents,Penajaya,Malik Agency,Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Legenda Si Mona Gersang,1984-12-06,1984,P.U. (A) 443,Printed Documents,Mahmud Mahyudin,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,Akta Mesin Cetak Dan Penerbitan 1984,Kemoralan,
Kuala Lumpur Makin Panas-Dilema Seorang Janda,1984-12-06,1984,P.U. (A) 443,Printed Documents,Mahmud Mahyudin,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Korban Cinta Palsu,1984-12-06,1984,P.U. (A) 443,Printed Documents,Iza Sharizad,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Musnah,1984-12-06,1984,P.U. (A) 443,Printed Documents,Hasnol Rahman,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Gara-Gara Pita Video,1984-12-06,1984,P.U. (A) 443,Visual Media,M.S,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Problem Seks Anda,1984-12-06,1984,P.U. (A) 443,Printed Documents,Azizan Ahmad,"Kayell Book Co.,",Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Mona Gersang,1984-12-06,1984,P.U. (A) 443,Audio/Recordings,Mahmud Mahyudin,Elnada Production,Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Terbang Bebas Hinggap Tak Berkaki,1984-12-06,1984,P.U. (A) 443,Audio/Recordings,Mahmud Mahyudin,El Nada Productions,Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
The Reluctant Model,1985-02-07,1985,P.U. (A) 70,Printed Documents,Charles Evans,"De Luxx Editions,",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
The Reluctant Model,1985-02-07,1985,P.U. (A) 70,Printed Documents,Charles Evans,De Luxx Editions,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
"Be Mine, Sexy Valentine",1985-02-07,1985,P.U. (A) 70,Printed Documents,Patricia Knowlee,"Caryle Communications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
"Be Mine,Sexy Valentine",1985-02-07,1985,P.U. (A) 70,Printed Documents,Patricia Knowlee,"Caryle Communications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Seks Dan Kesihatan,1985-02-07,1985,P.U. (A) 69,Printed Documents,Sulaiman Masri,"Tra-Tra Publishing & Trading Co.,",Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Teori & Praktikal Sek,1985-02-07,1985,P.U. (A) 69,Printed Documents,Robert Hamly,"Pustaka Muda, Ipoh",Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Ragam Sekkeliling Dunia,1985-02-07,1985,P.U. (A) 69,Printed Documents,S.A.Musanif,Penerbit Hmba Marang,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Rahsia Hati,1985-02-07,1985,P.U. (A) 69,Printed Documents,,,Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Penyerahan,1985-02-07,1985,P.U. (A) 69,Printed Documents,Farah Effendy,Mastika Enterprise,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Malam Pertama Yatie Estella,1985-02-07,1985,P.U. (A) 69,Printed Documents,Mastris,Majaya Enterprise,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Dilemma Si Mona Gersang,1985-02-07,1985,P.U. (A) 69,Printed Documents,Iza Shahrizad,"Knight Publisher, (P.Knight)",Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Senja Di Lombong Sepi,1985-02-07,1985,P.U. (A) 69,Printed Documents,Iza Shahrizad,"Knight Publisher, (P.Knight)",Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Burung-Burung Dikabus Senja,1985-02-07,1985,P.U. (A) 69,Printed Documents,Iza Shahrizad,"Knight Publisher, (P.Knight)",Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Rosita Gadis Hartawan,1985-02-07,1985,P.U. (A) 69,Printed Documents,Sidang Pengarang Knight Publisher,"Knight Publisher, (P.Knight)",Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Buah Hati Kekasih Orang,1985-02-07,1985,P.U. (A) 69,Printed Documents,Sdri Aneez-H.M.,"Knight Publisher, (P.Knight)",Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Kuala Lumpur Makin Panas,1985-02-07,1985,P.U. (A) 69,Printed Documents,Mahmud Mahyudin,"Knight Publisher, (P.Knight)",Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Malam Masih Panjang,1985-02-07,1985,P.U. (A) 69,Printed Documents,Ms,Knight Publisher (P.Knight),Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Ku Petik Kuntum-Kuntum Bunga Suci,1985-02-07,1985,P.U (A) 69,Printed Documents,Jabiya Jaya,Knight Publisher (P.Knight),Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Dilema Si Mona Gersang,1985-02-07,1985,P.U. (A) 69,Printed Documents,Iza Sharizat,Knight Publisher (P.Knight),Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Senja Di Lombong Sepi,1985-02-07,1985,P.U. (A) 69,Printed Documents,Iza Sharizat,Knight Publisher (P.Knight),Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Burung- Burung Dikabus Senja,1985-02-07,1985,P.U. (A) 69,Printed Documents,Iza Sharizat,Knight Publisher (P.Knight),Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Disebalik Tabir Perkahwinan,1985-02-07,1985,P.U. (A) 69,Printed Documents,Helmi Halim,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Kemusykilan Seks (150 Soalan & Jawapan),1985-02-07,1985,P.U. (A) 69,Printed Documents,Helmy Halim,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Seksologi,1985-02-07,1985,P.U. (A) 69,Printed Documents,Helmy Halim,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Ku Petik Kuntum-Kuntum Bunga Suci,1985-02-07,1985,P.U. (A) 69,Printed Documents,Jabiya Jaya,Kinight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Kepuasan Rumah Tangga,1985-02-07,1985,P.U. (A) 69,Printed Documents,Azizan Ahmad,"Almeejan Trading Co.,",Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Lagu-Lagu Li Qiu Xia) 1984,1985-07-11,1985,P.U. (A) 299,Audio/Recordings,Li Qiu Xia,,Local,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,Https://Zh-Yue.Wikipedia.Org/Wiki/%E6%9D%8E%E7%A7%8B%E9%9C%9E
Lagu-Lagu Li Qiu Xia Jilid 2,1985-07-11,1985,P.U. (A) 299,Audio/Recordings,Li Qiu Xia,,Local,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,Queen Of Pubic Hair
Asrama Putri,1985-07-11,1985,P.U. (A) 300,Printed Documents,Bangau Putih,Ts Enterprise,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Sudah Suratan,1985-07-11,1985,P.U. (A) 300,Printed Documents,Bangau Putih,Ts Enterprise,Local,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Tercapainya Sebuah Impian,1985-07-11,1985,P.U. (A) 300,Printed Documents,Mahmud Mahyudin,Knight Publisher,Foreign,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Kecil-Kecil Lembu Jaga,1986-03-06,1986,P.U. (A) 61,Printed Documents,,,Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Pergi Pasar Malam (She's A Lady),1986-03-06,1986,P.U. (A) 61,Printed Documents,,,Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Naik Kuda,1986-03-06,1986,P.U. (A) 61,Printed Documents,,,Unclear,,"[""Malay""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Nicole On Campus,1986-05-01,1986,P.U. (A) 140,Printed Documents,Morgan St. Michel,The Berkley Publishing Group,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Nicole On Campus,1986-05-01,1986,P.U. (A) 140,Printed Documents,Morgan St. Michel,The Berkley Publishing,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Hungry For Boys,1986-05-01,1986,P.U. (A) 140,Printed Documents,Grace Miller,"Publisher's Consultants,",Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Hungry For Boys,1986-05-01,1986,P.U. (A) 140,Printed Documents,Grace Miller,Publisher's Consultants,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Christina's World,1986-05-01,1986,P.U. (A) 140,Printed Documents,Blakely St. James,Play Boy Paperbacks,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Dog Fun For Daughter,1986-05-01,1986,P.U. (A) 140,Printed Documents,Paul Galbe,"Oakmore Enterprises, Inc.,",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
